,HFUEL,HHFAMINC,HOMEOWN,HHSIZE,YOUNGCHILD,HHVEHCNT,URBRUR,HTPPOPDN,PRICE,PLACE,R_AGE_IMP,R_SEX_IMP,EDUC,R_RACE,GT1JBLWK,OCCAT,CARSHARE,TIMETOWK,YEARMILE,VEHAGE
3,0,5,1.0,2.0,0.0,2.0,0,4,2.0,3.0,55,1,5.0,1.0,0,4.0,0,10.0,12000.0,3.0
75,0,3,1.0,1.0,0.0,1.0,1,2,3.0,1.0,28,1,5.0,1.0,0,4.0,0,35.0,400.0,2.0
76,0,3,1.0,1.0,0.0,1.0,0,2,4.0,4.0,24,1,4.0,1.0,0,2.0,0,10.0,2600.0,3.0
145,1,2,0.0,2.0,0.0,0.0,1,6,3.0,2.0,45,0,2.0,1.0,0,3.0,0,5.0,10000.0,2.0
197,0,5,1.0,1.0,0.0,1.0,0,5,2.0,4.0,36,1,2.0,1.0,0,4.0,0,40.0,9000.0,3.0
222,0,4,0.0,1.0,0.0,2.0,1,6,2.0,2.0,63,1,3.0,1.0,0,4.0,0,10.0,7000.0,3.0
297,0,3,1.0,2.0,0.0,1.0,1,2,4.0,3.0,29,0,5.0,3.0,0,4.0,0,20.0,400.0,1.0
301,0,5,0.0,4.0,1.0,2.0,0,3,2.0,2.0,60,0,5.0,1.0,0,4.0,0,90.0,6000.0,3.0
310,0,3,1.0,1.0,0.0,1.0,1,2,4.0,1.0,61,1,3.0,1.0,0,3.0,0,35.0,16000.0,1.0
317,0,5,1.0,3.0,0.0,2.0,1,5,2.0,2.0,45,0,3.0,1.0,0,4.0,0,15.0,6240.0,3.0
340,0,5,1.0,3.0,1.0,2.0,1,7,3.0,4.0,40,1,5.0,1.0,0,4.0,0,10.0,7500.0,3.0
348,0,5,1.0,5.0,3.0,2.0,1,6,3.0,2.0,52,0,4.0,1.0,0,4.0,0,30.0,25000.0,3.0
349,0,5,1.0,2.0,0.0,1.0,0,6,3.0,3.0,48,1,2.0,1.0,0,3.0,0,5.0,15000.0,2.0
353,0,5,1.0,1.0,0.0,1.0,1,4,1.0,2.0,65,1,3.0,1.0,0,4.0,0,30.0,25000.0,1.0
368,0,2,1.0,2.0,0.0,2.0,1,4,1.0,2.0,31,0,3.0,6.0,1,1.0,0,7.0,10000.0,1.0
433,0,1,1.0,4.0,0.0,2.0,1,6,1.0,1.0,62,1,2.0,7.0,0,1.0,0,8.0,3100.0,1.0
471,0,4,0.0,2.0,0.0,2.0,1,6,1.0,2.0,63,1,4.0,1.0,0,1.0,0,40.0,51000.0,3.0
505,1,5,0.0,2.0,0.0,3.0,1,2,5.0,5.0,19,0,3.0,6.0,0,1.0,0,15.0,20000.0,3.0
515,0,5,1.0,3.0,0.0,2.0,1,3,3.0,4.0,58,1,5.0,1.0,0,4.0,0,30.0,9000.0,1.0
540,0,4,1.0,1.0,0.0,1.0,1,1,1.0,3.0,56,1,2.0,1.0,0,3.0,0,10.0,50000.0,3.0
558,0,1,1.0,2.0,0.0,2.0,1,2,2.0,2.0,19,0,2.0,1.0,0,1.0,0,7.0,19832.0,2.0
593,0,5,1.0,1.0,0.0,0.0,1,6,1.0,1.0,34,1,5.0,1.0,0,4.0,0,3.0,15000.0,3.0
598,0,5,1.0,2.0,0.0,2.0,1,1,2.0,2.0,48,0,3.0,1.0,0,2.0,0,40.0,8000.0,2.0
610,0,5,0.0,1.0,0.0,1.0,1,3,3.0,3.0,52,0,4.0,1.0,0,4.0,0,15.0,5000.0,2.0
632,0,5,1.0,2.0,0.0,3.0,1,5,4.0,3.0,64,0,5.0,1.0,0,4.0,0,35.0,20000.0,2.0
657,0,2,1.0,2.0,0.0,2.0,1,3,2.0,2.0,30,0,5.0,2.0,0,4.0,0,7.0,7500.0,1.0
669,0,2,1.0,1.0,0.0,1.0,1,2,2.0,3.0,73,0,3.0,1.0,0,1.0,0,35.0,1500.0,2.0
732,0,2,1.0,5.0,1.0,1.0,0,6,5.0,3.0,42,1,4.0,1.0,0,4.0,0,16.0,16000.0,3.0
750,0,3,0.0,3.0,1.0,2.0,1,4,2.0,2.0,65,0,3.0,1.0,0,1.0,0,10.0,10000.0,3.0
753,0,5,1.0,2.0,0.0,3.0,1,5,2.0,2.0,60,1,4.0,1.0,0,4.0,0,23.0,10000.0,3.0
762,0,5,0.0,1.0,0.0,2.0,1,1,1.0,2.0,38,1,4.0,1.0,0,3.0,0,20.0,18000.0,1.0
770,0,5,1.0,2.0,0.0,3.0,1,2,4.0,4.0,61,1,5.0,1.0,0,4.0,0,22.0,19000.0,2.0
773,0,5,0.0,2.0,0.0,2.0,1,1,4.0,3.0,53,1,3.0,1.0,0,1.0,0,30.0,10000.0,3.0
800,1,5,1.0,2.0,0.0,2.0,1,4,2.0,2.0,58,0,3.0,1.0,0,4.0,0,50.0,35000.0,3.0
808,1,4,0.0,2.0,0.0,1.0,1,6,3.0,4.0,57,1,5.0,6.0,0,4.0,0,45.0,6700.0,1.0
811,0,4,0.0,2.0,0.0,2.0,1,3,3.0,2.0,44,1,3.0,3.0,0,4.0,0,15.0,10000.0,3.0
903,0,3,1.0,2.0,0.0,3.0,1,2,3.0,3.0,59,0,3.0,1.0,0,3.0,0,25.0,11000.0,3.0
909,0,4,1.0,4.0,0.0,3.0,0,6,2.0,4.0,65,1,1.0,1.0,0,1.0,0,10.0,10000.0,1.0
931,0,4,1.0,2.0,0.0,2.0,1,3,4.0,4.0,70,1,4.0,1.0,0,4.0,0,15.0,4500.0,2.0
972,0,4,1.0,2.0,0.0,2.0,1,1,2.0,1.0,67,0,4.0,1.0,1,4.0,0,15.0,7500.0,1.0
974,0,5,0.0,1.0,0.0,0.0,1,2,2.0,4.0,35,0,5.0,1.0,0,4.0,0,15.0,12000.0,3.0
981,0,5,1.0,2.0,0.0,5.0,0,1,2.0,2.0,50,1,4.0,1.0,0,4.0,0,75.0,20000.0,2.0
1000,0,1,1.0,3.0,0.0,3.0,1,2,2.0,3.0,69,0,3.0,1.0,0,4.0,0,20.0,8000.0,3.0
1009,0,5,1.0,2.0,0.0,2.0,1,6,4.0,3.0,33,0,5.0,1.0,0,4.0,0,40.0,10000.0,2.0
1016,0,5,1.0,1.0,0.0,1.0,0,2,4.0,4.0,50,1,5.0,1.0,0,4.0,0,30.0,15000.0,2.0
1019,0,2,1.0,2.0,0.0,1.0,1,1,4.0,2.0,23,0,4.0,1.0,0,4.0,0,15.0,8000.0,3.0
1023,0,3,0.0,3.0,0.0,2.0,1,4,3.0,2.0,42,1,5.0,1.0,0,4.0,0,10.0,5000.0,2.0
1044,0,4,0.0,2.0,0.0,2.0,1,4,2.0,3.0,58,0,2.0,1.0,1,2.0,0,20.0,1000.0,1.0
1055,0,2,1.0,1.0,0.0,2.0,1,5,1.0,3.0,29,1,3.0,1.0,1,1.0,0,30.0,10000.0,2.0
1080,0,5,1.0,2.0,0.0,2.0,0,1,3.0,3.0,49,1,4.0,1.0,0,4.0,0,15.0,15000.0,3.0
1086,0,5,1.0,3.0,1.0,4.0,1,1,4.0,2.0,44,1,2.0,2.0,1,4.0,0,120.0,43200.0,2.0
1089,0,5,0.0,1.0,0.0,1.0,1,3,2.0,2.0,35,1,5.0,1.0,0,4.0,0,100.0,14000.0,1.0
1121,0,4,1.0,1.0,0.0,1.0,1,5,3.0,4.0,50,1,4.0,6.0,1,4.0,0,25.0,15000.0,1.0
1152,0,4,0.0,1.0,0.0,0.0,1,2,1.0,1.0,20,0,3.0,1.0,1,1.0,0,20.0,18000.0,1.0
1172,0,3,1.0,1.0,0.0,1.0,1,5,1.0,1.0,37,1,3.0,1.0,0,3.0,0,20.0,20000.0,3.0
1193,0,2,1.0,2.0,0.0,2.0,1,1,5.0,4.0,46,1,5.0,1.0,0,1.0,0,35.0,34000.0,3.0
1244,0,1,1.0,1.0,0.0,0.0,0,3,4.0,5.0,44,0,3.0,1.0,0,3.0,0,12.0,150.0,3.0
1256,0,5,1.0,3.0,0.0,3.0,0,2,2.0,1.0,24,0,4.0,1.0,0,1.0,0,60.0,8000.0,3.0
1323,0,3,1.0,1.0,0.0,2.0,1,2,2.0,2.0,68,0,4.0,1.0,0,1.0,0,45.0,25000.0,3.0
1351,0,1,1.0,2.0,0.0,2.0,1,6,2.0,2.0,21,0,3.0,2.0,0,1.0,0,15.0,4000.0,2.0
1354,0,2,0.0,2.0,0.0,2.0,1,5,3.0,3.0,67,1,4.0,1.0,0,4.0,0,30.0,5000.0,3.0
1359,0,3,0.0,3.0,0.0,1.0,1,5,5.0,5.0,68,1,4.0,1.0,0,4.0,0,20.0,8000.0,3.0
1370,0,4,1.0,2.0,0.0,2.0,1,2,1.0,1.0,18,1,3.0,1.0,0,1.0,0,5.0,20000.0,1.0
1421,0,5,1.0,2.0,0.0,7.0,1,3,2.0,2.0,30,0,3.0,1.0,0,4.0,0,35.0,12000.0,1.0
1429,0,3,1.0,2.0,0.0,3.0,1,3,3.0,2.0,57,0,2.0,1.0,0,4.0,0,5.0,10000.0,2.0
1441,0,5,1.0,2.0,0.0,3.0,1,5,1.0,2.0,40,0,3.0,2.0,0,2.0,0,55.0,500.0,3.0
1446,0,4,1.0,2.0,0.0,2.0,1,6,5.0,4.0,52,0,5.0,1.0,0,2.0,0,30.0,30000.0,1.0
1452,0,5,1.0,1.0,0.0,3.0,1,1,2.0,3.0,46,1,4.0,3.0,0,4.0,0,40.0,8000.0,2.0
1453,0,5,1.0,1.0,0.0,1.0,1,3,2.0,3.0,45,0,4.0,3.0,0,4.0,0,20.0,6000.0,3.0
1471,0,5,1.0,1.0,0.0,4.0,1,1,2.0,2.0,28,0,4.0,1.0,0,4.0,0,15.0,20000.0,3.0
1509,0,5,0.0,1.0,0.0,2.0,0,5,1.0,2.0,45,1,5.0,1.0,0,4.0,0,25.0,20000.0,1.0
1542,0,3,1.0,2.0,0.0,1.0,1,3,4.0,3.0,55,1,4.0,3.0,0,4.0,0,56.0,60000.0,2.0
1554,0,4,1.0,1.0,0.0,2.0,1,3,3.0,3.0,35,1,3.0,1.0,0,4.0,0,11.0,12000.0,1.0
1562,0,1,0.0,1.0,0.0,1.0,0,2,1.0,2.0,48,0,3.0,1.0,0,3.0,0,25.0,40000.0,1.0
1571,0,2,1.0,2.0,0.0,2.0,1,4,1.0,1.0,51,1,2.0,1.0,0,3.0,0,2.0,3000.0,2.0
1573,0,3,1.0,1.0,0.0,1.0,1,5,1.0,1.0,52,1,3.0,1.0,0,1.0,0,45.0,25000.0,3.0
1587,0,4,1.0,2.0,0.0,2.0,0,7,2.0,2.0,63,0,2.0,1.0,0,2.0,0,35.0,9000.0,1.0
1588,0,3,1.0,5.0,0.0,4.0,0,7,4.0,2.0,66,1,3.0,1.0,0,4.0,0,20.0,7000.0,2.0
1638,0,2,1.0,2.0,0.0,1.0,0,2,2.0,3.0,31,0,4.0,1.0,0,4.0,0,30.0,5000.0,2.0
1688,1,4,0.0,2.0,0.0,2.0,1,6,3.0,3.0,56,1,1.0,1.0,0,3.0,0,10.0,4000.0,2.0
1706,0,3,1.0,2.0,0.0,3.0,0,6,5.0,4.0,18,0,3.0,1.0,1,1.0,0,15.0,5000.0,3.0
1713,0,5,0.0,1.0,0.0,1.0,1,5,4.0,4.0,55,1,2.0,1.0,0,1.0,0,5.0,5000.0,3.0
1717,0,4,1.0,1.0,0.0,2.0,1,3,2.0,3.0,32,0,5.0,1.0,1,4.0,0,5.0,10000.0,3.0
1731,0,3,1.0,2.0,0.0,3.0,1,4,2.0,3.0,41,1,3.0,3.0,0,4.0,0,30.0,10000.0,2.0
1768,0,4,1.0,1.0,0.0,1.0,1,4,3.0,2.0,48,0,5.0,1.0,1,4.0,0,50.0,12000.0,3.0
1780,0,1,1.0,3.0,0.0,2.0,1,1,4.0,4.0,25,1,3.0,1.0,0,3.0,0,25.0,17000.0,3.0
1785,0,3,1.0,5.0,0.0,2.0,1,6,1.0,4.0,68,0,4.0,1.0,0,1.0,0,25.0,13000.0,3.0
1802,0,5,1.0,4.0,0.0,2.0,1,5,5.0,3.0,57,0,4.0,1.0,0,4.0,0,10.0,7700.0,3.0
1822,0,5,1.0,3.0,0.0,2.0,1,3,4.0,4.0,59,1,3.0,1.0,0,4.0,0,12.0,8700.0,1.0
1848,0,4,0.0,1.0,0.0,0.0,1,2,2.0,1.0,60,1,3.0,1.0,0,4.0,0,15.0,12000.0,1.0
1942,0,2,1.0,1.0,0.0,1.0,1,6,2.0,3.0,40,0,2.0,1.0,0,1.0,0,30.0,20000.0,2.0
1962,0,5,1.0,2.0,0.0,3.0,1,5,4.0,4.0,55,1,5.0,1.0,0,4.0,0,60.0,30000.0,2.0
2008,0,5,1.0,5.0,1.0,2.0,1,2,1.0,2.0,36,1,5.0,1.0,0,4.0,0,45.0,100000.0,1.0
2022,1,5,1.0,2.0,0.0,2.0,1,7,4.0,3.0,38,1,4.0,1.0,1,4.0,0,35.0,20000.0,3.0
2027,0,2,1.0,2.0,0.0,5.0,1,2,1.0,1.0,59,1,3.0,2.0,0,3.0,0,20.0,2500.0,2.0
2039,0,5,1.0,2.0,0.0,3.0,0,1,3.0,3.0,53,1,2.0,1.0,0,1.0,0,5.0,10000.0,1.0
2056,0,5,1.0,1.0,0.0,1.0,0,2,4.0,4.0,65,1,4.0,1.0,0,4.0,0,15.0,20000.0,1.0
2060,0,5,1.0,2.0,0.0,2.0,1,1,2.0,2.0,58,1,4.0,1.0,0,4.0,0,70.0,18000.0,2.0
2136,0,2,1.0,1.0,0.0,1.0,0,5,3.0,3.0,30,1,2.0,6.0,0,1.0,0,30.0,100000.0,2.0
2156,0,3,1.0,3.0,0.0,3.0,1,3,2.0,2.0,62,1,2.0,1.0,0,3.0,0,20.0,4000.0,3.0
2177,0,5,1.0,2.0,0.0,2.0,1,6,3.0,3.0,56,0,3.0,1.0,0,1.0,0,10.0,5000.0,2.0
2180,0,2,1.0,1.0,0.0,1.0,1,2,2.0,2.0,22,1,3.0,1.0,0,3.0,0,20.0,5000.0,3.0
2207,0,3,0.0,5.0,0.0,1.0,0,5,4.0,3.0,49,1,2.0,1.0,1,3.0,0,35.0,15000.0,2.0
2209,0,5,1.0,3.0,0.0,2.0,1,7,3.0,4.0,54,0,5.0,1.0,0,4.0,0,15.0,14000.0,1.0
2215,0,4,1.0,2.0,0.0,1.0,0,6,3.0,3.0,43,0,4.0,1.0,0,4.0,0,15.0,6000.0,3.0
2259,0,3,0.0,3.0,0.0,1.0,0,5,3.0,3.0,35,0,3.0,1.0,0,4.0,0,135.0,22000.0,2.0
2274,0,1,1.0,1.0,0.0,1.0,1,6,4.0,3.0,21,0,4.0,1.0,0,4.0,0,7.0,10000.0,1.0
2314,0,2,1.0,3.0,0.0,2.0,0,1,5.0,3.0,55,0,3.0,1.0,0,2.0,0,20.0,25000.0,3.0
2334,0,5,0.0,4.0,0.0,2.0,1,2,1.0,2.0,28,0,4.0,3.0,0,2.0,0,30.0,5000.0,3.0
2356,0,5,0.0,3.0,1.0,1.0,1,2,4.0,4.0,38,0,4.0,1.0,0,4.0,0,8.0,18000.0,1.0
2363,0,4,0.0,1.0,0.0,1.0,1,5,4.0,2.0,47,1,2.0,1.0,0,3.0,0,20.0,10000.0,3.0
2375,0,5,0.0,3.0,0.0,3.0,1,1,2.0,3.0,57,1,5.0,1.0,0,4.0,0,45.0,5000.0,3.0
2377,0,5,1.0,4.0,0.0,2.0,0,1,2.0,3.0,54,1,3.0,1.0,0,1.0,0,45.0,1000.0,3.0
2403,0,3,1.0,1.0,0.0,1.0,1,5,3.0,3.0,48,1,4.0,1.0,1,3.0,0,7.0,50000.0,3.0
2422,0,5,1.0,1.0,0.0,1.0,1,6,3.0,2.0,20,0,3.0,1.0,0,1.0,0,15.0,100.0,1.0
2499,0,3,1.0,2.0,0.0,2.0,1,1,3.0,4.0,35,1,2.0,1.0,0,1.0,0,10.0,7000.0,1.0
2540,0,4,0.0,4.0,0.0,1.0,1,7,1.0,2.0,60,1,5.0,6.0,0,4.0,0,17.0,29500.0,2.0
2560,0,2,1.0,4.0,0.0,4.0,1,6,2.0,4.0,20,1,2.0,1.0,0,3.0,0,30.0,20000.0,2.0
2586,0,3,1.0,2.0,0.0,4.0,1,4,2.0,1.0,68,0,4.0,1.0,0,1.0,0,10.0,6000.0,2.0
2615,1,5,1.0,1.0,0.0,2.0,1,4,4.0,4.0,33,0,4.0,1.0,0,4.0,0,60.0,40000.0,2.0
2658,0,5,1.0,2.0,0.0,1.0,1,5,4.0,4.0,64,0,3.0,6.0,0,4.0,1,90.0,100000.0,2.0
2677,0,5,1.0,3.0,0.0,4.0,1,7,5.0,4.0,35,1,5.0,1.0,0,4.0,0,25.0,20000.0,3.0
2689,0,5,0.0,1.0,0.0,1.0,1,4,5.0,5.0,64,1,5.0,3.0,0,1.0,0,20.0,13000.0,3.0
2697,0,5,0.0,1.0,0.0,1.0,1,8,1.0,2.0,59,1,5.0,1.0,0,4.0,0,40.0,9500.0,1.0
2707,0,4,1.0,1.0,0.0,1.0,1,4,2.0,3.0,54,0,5.0,1.0,0,4.0,0,20.0,15000.0,1.0
2721,0,5,0.0,2.0,0.0,2.0,1,6,3.0,3.0,60,1,4.0,1.0,0,4.0,0,7.0,18000.0,1.0
2782,0,2,1.0,4.0,0.0,3.0,1,1,1.0,2.0,29,1,2.0,1.0,0,3.0,0,30.0,25000.0,3.0
2786,0,5,1.0,1.0,0.0,2.0,1,1,3.0,3.0,54,1,5.0,7.0,0,4.0,0,35.0,12000.0,3.0
2804,0,2,1.0,2.0,0.0,1.0,0,6,2.0,2.0,32,0,2.0,4.0,0,1.0,0,15.0,1500.0,3.0
2823,0,5,0.0,2.0,0.0,2.0,1,7,2.0,2.0,25,1,4.0,1.0,0,4.0,0,120.0,6000.0,2.0
2873,0,1,1.0,1.0,0.0,1.0,1,5,4.0,3.0,35,1,3.0,2.0,0,3.0,0,45.0,50000.0,2.0
2886,0,5,1.0,1.0,0.0,1.0,1,2,3.0,3.0,18,0,2.0,1.0,0,1.0,0,15.0,5000.0,1.0
2906,0,3,0.0,1.0,0.0,2.0,1,5,3.0,3.0,30,0,4.0,1.0,0,4.0,0,15.0,12000.0,1.0
2954,0,1,0.0,1.0,0.0,1.0,1,6,4.0,3.0,70,1,5.0,1.0,0,1.0,0,25.0,12000.0,1.0
3016,0,5,1.0,1.0,0.0,1.0,1,2,1.0,1.0,28,1,4.0,1.0,0,4.0,0,20.0,12500.0,1.0
3017,0,5,1.0,3.0,0.0,2.0,1,6,2.0,2.0,60,1,4.0,1.0,0,4.0,0,30.0,12000.0,1.0
3031,0,2,1.0,3.0,0.0,3.0,0,5,2.0,3.0,63,1,5.0,3.0,0,4.0,0,15.0,5000.0,3.0
3048,0,5,0.0,1.0,0.0,0.0,1,1,2.0,2.0,39,0,4.0,1.0,0,4.0,0,45.0,12000.0,2.0
3095,0,3,1.0,2.0,0.0,2.0,1,1,2.0,2.0,35,1,2.0,1.0,0,1.0,0,30.0,20000.0,3.0
3133,0,4,0.0,1.0,0.0,1.0,0,4,2.0,3.0,39,1,3.0,1.0,0,4.0,0,20.0,10000.0,2.0
3252,0,4,1.0,2.0,0.0,1.0,1,3,3.0,1.0,42,1,4.0,1.0,0,4.0,0,15.0,8000.0,1.0
3260,0,4,0.0,2.0,0.0,1.0,1,4,3.0,2.0,63,0,4.0,1.0,0,4.0,0,25.0,12000.0,3.0
3281,0,1,0.0,1.0,0.0,1.0,1,6,3.0,5.0,61,0,2.0,1.0,0,4.0,0,25.0,500.0,2.0
3294,0,4,0.0,4.0,0.0,5.0,1,2,5.0,4.0,28,0,3.0,1.0,0,2.0,0,20.0,5000.0,3.0
3308,0,4,1.0,2.0,0.0,2.0,1,2,4.0,5.0,63,1,3.0,1.0,0,4.0,0,20.0,12000.0,3.0
3365,0,3,1.0,5.0,3.0,2.0,1,4,2.0,3.0,52,1,3.0,1.0,0,2.0,0,5.0,10000.0,2.0
3424,0,2,1.0,3.0,0.0,3.0,1,4,4.0,3.0,25,1,3.0,1.0,0,1.0,0,16.0,10000.0,1.0
3436,0,5,1.0,2.0,0.0,2.0,0,3,2.0,3.0,57,0,4.0,1.0,0,4.0,0,30.0,14000.0,2.0
3449,0,5,1.0,2.0,0.0,2.0,1,4,4.0,4.0,37,1,5.0,1.0,0,4.0,0,20.0,6000.0,1.0
3459,0,2,1.0,6.0,0.0,3.0,1,2,4.0,4.0,26,0,4.0,1.0,0,4.0,0,30.0,5000.0,3.0
3526,0,4,0.0,4.0,0.0,3.0,0,3,2.0,3.0,80,1,3.0,1.0,0,3.0,0,30.0,9000.0,3.0
3537,0,3,0.0,1.0,0.0,0.0,1,4,1.0,1.0,44,0,3.0,1.0,0,2.0,0,15.0,9000.0,3.0
3583,0,4,1.0,2.0,0.0,2.0,1,2,1.0,2.0,28,1,4.0,1.0,0,4.0,0,8.0,3500.0,3.0
3593,0,5,1.0,2.0,0.0,3.0,1,8,5.0,3.0,55,1,3.0,1.0,0,4.0,0,15.0,12000.0,3.0
3595,0,5,1.0,3.0,0.0,3.0,0,2,3.0,3.0,53,1,3.0,7.0,0,3.0,0,20.0,15000.0,2.0
3614,0,3,1.0,4.0,1.0,1.0,1,2,2.0,1.0,53,0,3.0,1.0,0,4.0,0,15.0,10000.0,1.0
3638,0,3,1.0,3.0,0.0,3.0,1,1,3.0,3.0,51,1,3.0,1.0,0,4.0,0,35.0,10000.0,3.0
3705,0,2,1.0,2.0,0.0,2.0,1,6,1.0,2.0,31,0,3.0,1.0,1,1.0,0,25.0,30000.0,3.0
3747,0,5,1.0,2.0,0.0,1.0,1,5,4.0,4.0,30,1,5.0,1.0,0,4.0,0,45.0,1300.0,2.0
3760,0,5,1.0,2.0,0.0,3.0,1,2,1.0,1.0,60,1,5.0,1.0,0,4.0,0,7.0,1000.0,2.0
3771,0,2,0.0,2.0,0.0,2.0,1,3,4.0,2.0,64,1,3.0,1.0,0,1.0,0,80.0,6000.0,3.0
3784,0,1,1.0,2.0,0.0,2.0,0,4,2.0,2.0,57,0,3.0,1.0,0,2.0,0,30.0,10000.0,2.0
3807,0,3,1.0,2.0,0.0,4.0,0,5,3.0,4.0,59,1,5.0,1.0,0,1.0,0,25.0,25000.0,2.0
3840,0,5,1.0,2.0,0.0,2.0,1,5,1.0,1.0,30,0,5.0,1.0,0,4.0,0,15.0,12000.0,2.0
3884,0,5,0.0,1.0,0.0,1.0,0,4,2.0,2.0,20,1,2.0,1.0,0,3.0,0,35.0,16000.0,2.0
3916,0,5,0.0,2.0,0.0,1.0,1,6,2.0,3.0,39,1,4.0,1.0,0,4.0,0,10.0,12500.0,2.0
3935,0,5,1.0,2.0,0.0,2.0,1,7,2.0,3.0,36,0,4.0,1.0,0,4.0,0,15.0,10000.0,2.0
4012,0,3,1.0,1.0,0.0,1.0,1,1,2.0,2.0,37,0,5.0,2.0,0,4.0,0,90.0,20000.0,2.0
4025,0,5,0.0,4.0,0.0,1.0,1,4,1.0,2.0,49,1,4.0,1.0,0,4.0,0,30.0,14000.0,3.0
4049,0,5,0.0,2.0,0.0,2.0,0,1,3.0,3.0,54,1,2.0,1.0,0,3.0,0,3.0,15000.0,2.0
4083,1,2,1.0,1.0,0.0,3.0,1,6,2.0,3.0,65,0,3.0,1.0,0,4.0,0,15.0,9500.0,2.0
4104,0,3,1.0,2.0,0.0,1.0,1,2,3.0,2.0,33,0,5.0,2.0,1,4.0,0,45.0,40000.0,2.0
4150,0,2,1.0,3.0,0.0,3.0,1,2,3.0,3.0,28,0,5.0,1.0,0,4.0,0,16.0,12000.0,1.0
4158,0,5,1.0,4.0,0.0,1.0,1,5,2.0,4.0,31,1,2.0,1.0,1,3.0,0,20.0,15000.0,1.0
4160,0,1,1.0,2.0,0.0,4.0,1,2,4.0,3.0,67,0,4.0,1.0,1,2.0,0,10.0,1000.0,2.0
4204,0,5,1.0,4.0,0.0,2.0,1,5,3.0,2.0,35,1,5.0,1.0,0,4.0,0,50.0,1000.0,2.0
4209,0,1,1.0,1.0,0.0,1.0,1,6,5.0,3.0,63,0,3.0,1.0,1,2.0,0,10.0,2000.0,3.0
4218,0,4,1.0,4.0,0.0,2.0,1,5,2.0,2.0,37,1,3.0,1.0,0,3.0,0,35.0,15000.0,3.0
4219,0,3,1.0,2.0,0.0,2.0,1,1,4.0,4.0,54,1,5.0,2.0,0,4.0,0,40.0,16000.0,1.0
4236,0,5,0.0,2.0,0.0,2.0,1,4,4.0,3.0,33,0,2.0,1.0,0,2.0,0,10.0,6000.0,1.0
4267,0,5,0.0,2.0,0.0,1.0,1,5,1.0,2.0,37,1,4.0,3.0,0,4.0,0,17.0,350.0,2.0
4269,0,5,1.0,1.0,0.0,1.0,1,3,2.0,3.0,28,1,4.0,1.0,0,4.0,0,12.0,9000.0,2.0
4290,0,2,1.0,1.0,0.0,1.0,1,4,4.0,4.0,22,0,3.0,1.0,0,1.0,0,45.0,20000.0,3.0
4306,0,3,1.0,1.0,0.0,2.0,0,5,1.0,3.0,26,0,4.0,1.0,0,4.0,0,45.0,15000.0,3.0
4328,0,3,1.0,2.0,0.0,3.0,1,1,4.0,4.0,68,0,2.0,1.0,0,1.0,0,15.0,8500.0,2.0
4348,1,4,1.0,2.0,0.0,3.0,1,1,3.0,3.0,49,1,3.0,1.0,0,3.0,0,60.0,40000.0,2.0
4376,0,5,1.0,2.0,0.0,3.0,1,2,3.0,2.0,37,1,5.0,1.0,0,4.0,0,50.0,29000.0,2.0
4409,0,4,1.0,2.0,0.0,1.0,1,5,3.0,4.0,28,0,5.0,2.0,0,4.0,0,15.0,10000.0,3.0
4416,0,4,1.0,2.0,0.0,1.0,1,6,1.0,2.0,44,0,4.0,1.0,0,4.0,0,13.0,25000.0,1.0
4417,0,4,1.0,3.0,0.0,2.0,1,6,5.0,3.0,49,1,2.0,1.0,0,4.0,0,15.0,1000.0,3.0
4428,0,5,1.0,2.0,0.0,5.0,1,3,1.0,1.0,53,0,5.0,1.0,0,4.0,0,5.0,15000.0,3.0
4431,0,2,1.0,1.0,0.0,3.0,1,2,3.0,1.0,27,0,5.0,1.0,0,4.0,0,15.0,10000.0,3.0
4452,0,3,1.0,3.0,0.0,2.0,1,4,2.0,2.0,67,1,2.0,1.0,0,3.0,0,14.0,8500.0,1.0
4482,0,5,0.0,1.0,0.0,1.0,1,6,3.0,2.0,30,1,2.0,1.0,0,1.0,0,42.0,45000.0,2.0
4506,0,5,1.0,1.0,0.0,1.0,0,3,1.0,2.0,55,0,4.0,1.0,0,4.0,0,15.0,9000.0,3.0
4507,0,5,1.0,2.0,0.0,1.0,1,3,4.0,2.0,19,0,3.0,1.0,0,1.0,0,25.0,5000.0,3.0
4552,0,5,0.0,1.0,0.0,1.0,1,3,2.0,2.0,20,0,3.0,1.0,0,1.0,0,0.0,200.0,3.0
4554,0,5,0.0,1.0,0.0,1.0,0,1,4.0,3.0,63,0,2.0,1.0,1,1.0,0,15.0,3000.0,2.0
4628,0,4,0.0,7.0,0.0,2.0,1,1,2.0,1.0,63,1,3.0,1.0,0,4.0,0,45.0,20000.0,2.0
4633,0,3,1.0,3.0,0.0,1.0,1,2,4.0,3.0,29,1,5.0,1.0,0,4.0,0,60.0,12000.0,3.0
4636,0,2,1.0,3.0,0.0,2.0,0,7,1.0,4.0,48,0,3.0,1.0,0,1.0,0,20.0,20000.0,1.0
4824,0,3,0.0,3.0,0.0,2.0,1,5,4.0,4.0,45,0,3.0,1.0,0,4.0,0,15.0,12000.0,1.0
4862,0,4,1.0,1.0,0.0,1.0,1,4,1.0,1.0,45,0,5.0,1.0,1,4.0,0,35.0,22000.0,3.0
4891,0,5,1.0,2.0,0.0,3.0,1,3,1.0,2.0,69,1,5.0,1.0,0,4.0,0,15.0,6000.0,3.0
