,HFUEL,HHFAMINC,HOMEOWN,HHSIZE,YOUNGCHILD,HHVEHCNT,URBRUR,HTPPOPDN,PRICE,PLACE,R_AGE_IMP,R_SEX_IMP,EDUC,R_RACE,GT1JBLWK,OCCAT,CARSHARE,TIMETOWK,YEARMILE,VEHAGE
113428,0,3,1.0,4.0,0.0,3.0,1,3,4.0,4.0,60,0,5.0,1.0,0,4.0,0,25.0,12000.0,1.0
113453,0,5,0.0,1.0,0.0,1.0,1,5,4.0,4.0,51,0,5.0,1.0,0,4.0,0,35.0,12000.0,3.0
113471,0,1,0.0,4.0,1.0,3.0,1,5,3.0,4.0,23,0,3.0,3.0,0,1.0,0,45.0,14000.0,3.0
113498,0,5,1.0,1.0,0.0,1.0,1,6,3.0,3.0,31,0,5.0,1.0,0,4.0,0,35.0,14000.0,1.0
113505,1,5,1.0,2.0,0.0,2.0,1,6,2.0,3.0,39,1,4.0,1.0,0,4.0,0,30.0,15000.0,1.0
113519,0,5,1.0,2.0,0.0,1.0,1,2,4.0,3.0,58,1,5.0,1.0,0,4.0,0,35.0,14000.0,1.0
113562,0,4,1.0,2.0,0.0,2.0,1,2,1.0,2.0,35,0,3.0,1.0,0,4.0,0,40.0,15000.0,2.0
113594,0,4,1.0,3.0,0.0,3.0,1,2,4.0,4.0,28,1,5.0,3.0,0,4.0,0,20.0,13000.0,1.0
113595,1,4,1.0,2.0,0.0,2.0,1,2,3.0,2.0,28,1,5.0,3.0,0,4.0,0,20.0,15000.0,2.0
113601,0,4,1.0,1.0,0.0,0.0,1,1,4.0,4.0,56,0,5.0,1.0,0,4.0,0,60.0,3000.0,1.0
113623,0,5,1.0,1.0,0.0,1.0,1,6,1.0,2.0,54,0,4.0,1.0,0,1.0,0,20.0,10000.0,3.0
113682,0,2,1.0,2.0,0.0,2.0,1,2,3.0,3.0,58,0,2.0,1.0,0,2.0,0,20.0,7000.0,3.0
113686,0,5,0.0,1.0,0.0,1.0,1,6,2.0,3.0,32,1,5.0,1.0,0,4.0,0,40.0,11500.0,1.0
113699,0,2,0.0,1.0,0.0,1.0,1,1,1.0,2.0,53,1,2.0,6.0,0,3.0,0,3.0,4900.0,1.0
113737,0,5,0.0,1.0,0.0,1.0,1,7,2.0,5.0,34,0,4.0,1.0,0,3.0,0,30.0,15000.0,3.0
113740,0,5,1.0,1.0,0.0,1.0,1,3,3.0,3.0,23,1,2.0,1.0,0,3.0,0,5.0,45000.0,2.0
113758,0,5,1.0,2.0,0.0,2.0,1,5,5.0,3.0,59,1,5.0,1.0,0,4.0,0,10.0,15000.0,1.0
113771,0,5,1.0,4.0,2.0,3.0,1,4,3.0,3.0,33,0,5.0,1.0,0,4.0,0,45.0,0.0,1.0
